Position	StartingPosition	StartingTime	Age	Category	Swim	Cycle	Run	Total
330	394	10:23:15	44	H	00:12:08 	00:53:11	00:32:55	01:38:14
331	418	10:29:15	36	G			00:34:26	01:38:43
332	366	10:16:15	40	H	00:12:20 	00:54:37	00:31:48	01:38:45
333	202	09:35:15	30	F	00:12:20 	00:55:15	00:31:16	01:38:51
334	241	09:45:00	16	A	00:08:00 	01:02:13	00:28:40	01:38:53
335	141	09:20:00	21	D	00:09:32 	00:59:50	00:29:33	01:38:55
336	186	09:31:15	28	E	00:09:34 	00:58:56	00:30:26	01:38:56
337	268	09:51:45	42	H	00:09:15 	00:55:56	00:33:57	01:39:08
338	264	09:50:45	52	J	00:07:41 	00:57:39	00:33:49	01:39:09
339	399	10:24:30	46	I	00:12:47 	00:50:31	00:35:52	01:39:10
340	353	10:13:00	49	I	00:10:31 	00:51:38	00:37:03	01:39:12
341	371	10:17:30	40	H	00:09:17 	00:51:02	00:38:55	01:39:14
342	312	10:02:45	56	K	00:11:52 	00:55:15	00:32:17	01:39:24
343	308	10:01:45	59	K	00:09:20 	00:54:43	00:35:34	01:39:37
345	238	09:44:15	32	F	00:07:01 	01:07:38	00:25:20	01:39:59
344	192	09:32:45	32	F	00:08:20 	00:55:08	00:36:31	01:39:59
346	662	11:30:15	70	N	00:09:43 	00:55:51	00:34:27	01:40:01
347	155	09:23:30	33	F	00:08:02 	00:56:26	00:35:35	01:40:03
348	130	09:17:15	31	F	00:09:38 	00:55:43	00:34:50	01:40:11
349	91	09:07:30	39	G			00:39:39	01:40:25
350	184	09:30:45	37	G	00:09:44 	00:53:53	00:36:52	01:40:29
351	397	10:24:00	42	H	00:11:49 	00:59:35	00:29:28	01:40:52
352	370	10:17:15	47	I	00:10:17 	00:54:58	00:36:10	01:41:25
353	417	10:29:00	38	G	00:10:27 	01:00:25	00:30:34	01:41:26
354	391	10:22:30	43	H	00:14:00 	00:53:40	00:34:09	01:41:49
355	369	10:17:00	62	L	00:11:47 	00:50:34	00:39:35	01:41:56
356	249	09:47:00	54	J	00:10:26 	00:54:00	00:37:47	01:42:13
357	403	10:25:30	40	H	00:10:37 	00:52:30	00:39:15	01:42:22
358	328	10:06:45	0		00:10:23 	00:58:59	00:33:22	01:42:44
